date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2019-12-01,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-02,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-03,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-04,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-05,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-06,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-07,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-08,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-09,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-10,中国,CN,湖北省,420000.0,武汉市,420100.0,1,0,0,0
2019-12-11,中国,CN,湖北省,420000.0,武汉市,420100.0,4,0,0,0
2019-12-12,中国,CN,湖北省,420000.0,武汉市,420100.0,4,0,0,0
2019-12-13,中国,CN,湖北省,420000.0,武汉市,420100.0,4,0,0,0
2019-12-14,中国,CN,湖北省,420000.0,武汉市,420100.0,4,0,0,0
2019-12-15,中国,CN,湖北省,420000.0,武汉市,420100.0,6,0,0,0
2019-12-16,中国,CN,湖北省,420000.0,武汉市,420100.0,6,0,0,0
2019-12-17,中国,CN,湖北省,420000.0,武汉市,420100.0,7,0,0,0
2019-12-18,中国,CN,湖北省,420000.0,武汉市,420100.0,8,0,0,0
2019-12-19,中国,CN,湖北省,420000.0,武汉市,420100.0,9,0,0,0
2019-12-20,中国,CN,湖北省,420000.0,武汉市,420100.0,14,0,0,0
2019-12-21,中国,CN,湖北省,420000.0,武汉市,420100.0,18,0,0,0
2019-12-22,中国,CN,湖北省,420000.0,武汉市,420100.0,21,0,0,0
2019-12-23,中国,CN,湖北省,420000.0,武汉市,420100.0,29,0,0,0
2019-12-24,中国,CN,湖北省,420000.0,武汉市,420100.0,30,0,0,0
2019-12-25,中国,CN,湖北省,420000.0,武汉市,420100.0,33,0,0,0
2019-12-26,中国,CN,湖北省,420000.0,武汉市,420100.0,35,0,0,0
2019-12-27,中国,CN,湖北省,420000.0,武汉市,420100.0,37,0,0,0
2019-12-28,中国,CN,湖北省,420000.0,武汉市,420100.0,37,0,0,0
2019-12-29,中国,CN,湖北省,420000.0,武汉市,420100.0,37,0,0,0
2019-12-30,中国,CN,湖北省,420000.0,武汉市,420100.0,37,0,0,0
2019-12-31,中国,CN,湖北省,420000.0,武汉市,420100.0,40,0,0,0
2020-01-01,中国,CN,湖北省,420000.0,武汉市,420100.0,43,0,0,0
2020-01-02,中国,CN,湖北省,420000.0,武汉市,420100.0,44,0,0,0
2020-01-03,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,0,0
2020-01-04,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,0,0
2020-01-05,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,0,0
2020-01-06,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,0,0
2020-01-07,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,0,0
2020-01-08,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,0,0
2020-01-09,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,0,0
2020-01-10,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,2,1
2020-01-11,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,6,1
2020-01-12,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,7,1
2020-01-13,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,7,1
2020-01-14,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,7,1
2020-01-15,中国,CN,湖北省,420000.0,武汉市,420100.0,41,0,12,2
2020-01-16,中国,CN,湖北省,420000.0,武汉市,420100.0,45,0,15,2
2020-01-17,中国,CN,湖北省,420000.0,武汉市,420100.0,62,0,19,2
2020-01-18,中国,CN,湖北省,420000.0,武汉市,420100.0,121,0,24,3
2020-01-19,中国,CN,湖北省,420000.0,武汉市,420100.0,198,0,25,3
2020-01-19,中国,CN,广东省,440000.0,深圳市,440300.0,1,0,0,0
2020-01-20,中国,CN,上海市,310000.0,外地来沪,,1,0,0,0
2020-01-21,中国,CN,北京市,110000.0,武汉来京,,1,0,0,0
2020-01-21,中国,CN,北京市,110000.0,西城区,110102.0,1,0,0,0
2020-01-21,中国,CN,北京市,110000.0,丰台区,110106.0,1,0,0,0
2020-01-21,中国,CN,北京市,110000.0,海淀区,110108.0,2,0,0,0
2020-01-21,中国,CN,北京市,110000.0,通州区,110112.0,1,0,0,0
2020-01-21,中国,CN,北京市,110000.0,昌平区,110114.0,2,0,0,0
2020-01-21,中国,CN,北京市,110000.0,大兴区,110115.0,2,0,0,0
2020-01-21,中国,CN,黑龙江省,230000.0,牡丹江市,231000.0,0,1,0,0
2020-01-21,中国,CN,浙江省,330000.0,杭州市,330100.0,1,0,0,0
2020-01-21,中国,CN,浙江省,330000.0,温州市,330300.0,2,0,0,0
2020-01-21,中国,CN,浙江省,330000.0,舟山市,330900.0,1,0,0,0
2020-01-21,中国,CN,浙江省,330000.0,台州市,331000.0,1,0,0,0
2020-01-21,中国,CN,安徽省,340000.0,合肥市,340100.0,0,1,0,0
2020-01-21,中国,CN,江西省,360000.0,萍乡市,360300.0,1,0,0,0
2020-01-21,中国,CN,江西省,360000.0,抚州市,361000.0,1,0,0,0
2020-01-21,中国,CN,山东省,370000.0,青岛市,370200.0,1,0,0,0
2020-01-21,中国,CN,河南省,410000.0,郑州市,410100.0,1,0,0,0
2020-01-21,中国,CN,湖南省,430000.0,长沙市,430100.0,1,0,0,0
2020-01-21,中国,CN,广东省,440000.0,广州市,440100.0,2,0,0,0
2020-01-21,中国,CN,广东省,440000.0,韶关市,440200.0,2,0,0,0
2020-01-21,中国,CN,广东省,440000.0,深圳市,440300.0,14,0,0,0
2020-01-21,中国,CN,广东省,440000.0,珠海市,440400.0,4,0,0,0
2020-01-21,中国,CN,广东省,440000.0,佛山市,440600.0,1,0,0,0
2020-01-21,中国,CN,广东省,440000.0,湛江市,440800.0,2,0,0,0
2020-01-21,中国,CN,广东省,440000.0,惠州市,441300.0,1,0,0,0
2020-01-21,中国,CN,重庆市,500000.0,万州区,500101.0,2,0,0,0
2020-01-21,中国,CN,重庆市,500000.0,长寿区,500115.0,1,0,0,0
2020-01-21,中国,CN,重庆市,500000.0,巫山县,500237.0,2,0,0,0
2020-01-21,中国,CN,四川省,510000.0,成都市,510100.0,1,3,0,0
2020-01-21,中国,CN,四川省,510000.0,绵阳市,510700.0,0,2,0,0
2020-01-21,中国,CN,四川省,510000.0,广安市,511600.0,1,0,0,0
2020-01-21,中国,CN,贵州省,520000.0,贵阳市,520100.0,0,1,0,0
2020-01-22,中国,CN,北京市,110000.0,武汉来京,,2,0,0,0
2020-01-22,中国,CN,北京市,110000.0,西城区,110102.0,2,0,0,0
2020-01-22,中国,CN,北京市,110000.0,朝阳区,110105.0,1,0,0,0
2020-01-22,中国,CN,北京市,110000.0,丰台区,110106.0,1,0,0,0
2020-01-22,中国,CN,北京市,110000.0,石景山区,110107.0,1,0,0,0
2020-01-22,中国,CN,北京市,110000.0,海淀区,110108.0,2,0,0,0
2020-01-22,中国,CN,北京市,110000.0,通州区,110112.0,1,0,0,0
2020-01-22,中国,CN,北京市,110000.0,昌平区,110114.0,2,0,0,0
2020-01-22,中国,CN,北京市,110000.0,大兴区,110115.0,2,0,0,0
2020-01-22,中国,CN,河北省,130000.0,石家庄市,130100.0,1,0,0,0
2020-01-22,中国,CN,山西省,140000.0,太原市,140100.0,1,0,0,0
2020-01-22,中国,CN,辽宁省,210000.0,沈阳市,210100.0,1,0,0,0
2020-01-22,中国,CN,辽宁省,210000.0,大连市,210200.0,1,0,0,0
2020-01-22,中国,CN,吉林省,220000.0,长春市,220100.0,1,0,0,0
2020-01-22,中国,CN,黑龙江省,230000.0,牡丹江市,231000.0,1,0,0,0
2020-01-22,中国,CN,江苏省,320000.0,苏州市,320500.0,1,0,0,0
2020-01-22,中国,CN,浙江省,330000.0,杭州市,330100.0,1,0,0,0
2020-01-22,中国,CN,浙江省,330000.0,宁波市,330200.0,3,0,0,0
2020-01-22,中国,CN,浙江省,330000.0,温州市,330300.0,4,0,0,0
2020-01-22,中国,CN,浙江省,330000.0,舟山市,330900.0,1,0,0,0
2020-01-22,中国,CN,浙江省,330000.0,台州市,331000.0,1,0,0,0
2020-01-22,中国,CN,安徽省,340000.0,合肥市,340100.0,1,3,0,0
2020-01-22,中国,CN,安徽省,340000.0,六安市,341500.0,0,1,0,0
2020-01-22,中国,CN,福建省,350000.0,福州市,350100.0,1,0,0,0
2020-01-22,中国,CN,江西省,360000.0,南昌市,360100.0,1,0,0,0
2020-01-22,中国,CN,江西省,360000.0,萍乡市,360300.0,1,0,0,0
2020-01-22,中国,CN,江西省,360000.0,抚州市,361000.0,1,0,0,0
2020-01-22,中国,CN,山东省,370000.0,青岛市,370200.0,3,0,0,0
2020-01-22,中国,CN,山东省,370000.0,威海市,371000.0,1,0,0,0
2020-01-22,中国,CN,山东省,370000.0,临沂市,371300.0,2,0,0,0
2020-01-22,中国,CN,河南省,410000.0,郑州市,410100.0,2,0,0,0
2020-01-22,中国,CN,河南省,410000.0,巩义市,410181.0,1,0,0,0
2020-01-22,中国,CN,河南省,410000.0,洛阳市,410300.0,1,0,0,0
2020-01-22,中国,CN,河南省,410000.0,三门峡市,411200.0,1,0,0,0
